Year,Sexe,Value
2016/2017,,98
2016/2017,Femme,98
2016/2017,Homme,97
2017/2018,,97
2017/2018,Femme,97
2017/2018,Homme,97
2019/2020,,97
2019/2020,Femme,97
2019/2020,Homme,97
2020/2021,,93
2020/2021,Femme,93
2020/2021,Homme,93
