Year,Géographie,GeoCode,Value
2015,,,39.68
2015,Alberta,48,41.14
2015,Région de l'Atlantique,,0.0
2015,Colombie-Britannique,59,22.44
2015,Manitoba,46,35.2
2015,Nouveau-Brunswick,13,3.91
2015,Terre-Neuve-et-Labrador,10,1.43
2015,Territoires du Nord,,0.0
2015,Territoires du Nord-Ouest,61,
2015,Nouvelle-Écosse,12,28.61
2015,Nunavut,62,
2015,Ontario,35,47.65
2015,Région des Prairies,,40.11
2015,Île-du-Prince-Édouard,11,0.0
2015,Québec,24,34.38
2015,Saskatchewan,47,41.99
2015,Yukon,60,0.0
2016,,,38.55
2016,Alberta,48,39.26
2016,Région de l'Atlantique,,0.46
2016,Colombie-Britannique,59,22.67
2016,Manitoba,46,32.79
2016,Nouveau-Brunswick,13,6.7
2016,Terre-Neuve-et-Labrador,10,0.0
2016,Territoires du Nord,,0.0
2016,Territoires du Nord-Ouest,61,
2016,Nouvelle-Écosse,12,26.46
2016,Nunavut,62,
2016,Ontario,35,47.05
2016,Région des Prairies,,38.01
2016,Île-du-Prince-Édouard,11,12.54
2016,Québec,24,32.68
2016,Saskatchewan,47,35.21
2016,Yukon,60,0.0
2017,,,37.72
2017,Alberta,48,36.41
2017,Région de l'Atlantique,,0.43
2017,Colombie-Britannique,59,21.54
2017,Manitoba,46,37.03
2017,Nouveau-Brunswick,13,5.78
2017,Terre-Neuve-et-Labrador,10,1.56
2017,Territoires du Nord,,0.0
2017,Territoires du Nord-Ouest,61,0.0
2017,Nouvelle-Écosse,12,28.88
2017,Nunavut,62,0.0
2017,Ontario,35,45.26
2017,Région des Prairies,,37.07
2017,Île-du-Prince-Édouard,11,27.87
2017,Québec,24,34.2
2017,Saskatchewan,47,40.86
2017,Yukon,60,0.12
2018,,,37.69
2018,Alberta,48,35.51
2018,Région de l'Atlantique,,12.2
2018,Colombie-Britannique,59,22.2
2018,Manitoba,46,39.34
2018,Nouveau-Brunswick,13,0.0
2018,Terre-Neuve-et-Labrador,10,0.0
2018,Territoires du Nord,,0.02
2018,Territoires du Nord-Ouest,61,0.0
2018,Nouvelle-Écosse,12,33.52
2018,Nunavut,62,0.0
2018,Ontario,35,45.32
2018,Région des Prairies,,38.09
2018,Île-du-Prince-Édouard,11,16.52
2018,Québec,24,32.8
2018,Saskatchewan,47,33.11
2018,Yukon,60,0.02
2019,,,38.58
2019,Alberta,48,35.13
2019,Région de l'Atlantique,,3.24
2019,Colombie-Britannique,59,25.5
2019,Manitoba,46,37.38
2019,Nouveau-Brunswick,13,6.9
2019,Terre-Neuve-et-Labrador,10,1.65
2019,Territoires du Nord,,0.03
2019,Territoires du Nord-Ouest,61,0.0
2019,Nouvelle-Écosse,12,37.45
2019,Nunavut,62,0.0
2019,Ontario,35,46.15
2019,Région des Prairies,,35.35
2019,Île-du-Prince-Édouard,11,4.2
2019,Québec,24,34.98
2019,Saskatchewan,47,27.85
2019,Yukon,60,0.0
2020,,,35.99
2020,Alberta,48,32.28
2020,Région de l'Atlantique,,3.45
2020,Colombie-Britannique,59,23.56
2020,Manitoba,46,36.77
2020,Nouveau-Brunswick,13,6.4
2020,Terre-Neuve-et-Labrador,10,2.01
2020,Territoires du Nord,,0.1
2020,Territoires du Nord-Ouest,61,
2020,Nouvelle-Écosse,12,4.8
2020,Nunavut,62,
2020,Ontario,35,43.4
2020,Région des Prairies,,33.1
2020,Île-du-Prince-Édouard,11,16.9
2020,Québec,24,32.03
2020,Saskatchewan,47,36.61
2020,Yukon,60,0.23
2021,,,32.83
2021,Alberta,48,33.61
2021,Région de l'Atlantique,,6.42
2021,Colombie-Britannique,59,19.52
2021,Manitoba,46,37.23
2021,Nouveau-Brunswick,13,0.0
2021,Terre-Neuve-et-Labrador,10,0.0
2021,Territoires du Nord,,0.02
2021,Territoires du Nord-Ouest,61,
2021,Nouvelle-Écosse,12,23.7
2021,Nunavut,62,
2021,Ontario,35,38.09
2021,Région des Prairies,,34.24
2021,Île-du-Prince-Édouard,11,29.43
2021,Québec,24,30.96
2021,Saskatchewan,47,33.6
2021,Yukon,60,0.0
2022,,,33.98
2022,Alberta,48,33.0
2022,Région de l'Atlantique,,8.05
2022,Colombie-Britannique,59,22.12
2022,Manitoba,46,39.09
2022,Nouveau-Brunswick,13,3.43
2022,Terre-Neuve-et-Labrador,10,0.0
2022,Territoires du Nord,,0.01
2022,Territoires du Nord-Ouest,61,
2022,Nouvelle-Écosse,12,22.86
2022,Nunavut,62,
2022,Ontario,35,38.72
2022,Région des Prairies,,35.68
2022,Île-du-Prince-Édouard,11,38.64
2022,Québec,24,31.0
2022,Saskatchewan,47,41.5
2022,Yukon,60,0.0
2023,,,36.55
2023,Alberta,48,34.73
2023,Région de l'Atlantique,,0.0
2023,Colombie-Britannique,59,25.81
2023,Manitoba,46,40.24
2023,Nouveau-Brunswick,13,0.0
2023,Terre-Neuve-et-Labrador,10,0.0
2023,Territoires du Nord,,0.0
2023,Territoires du Nord-Ouest,61,
2023,Nouvelle-Écosse,12,21.18
2023,Nunavut,62,inf
2023,Ontario,35,40.76
2023,Région des Prairies,,36.93
2023,Île-du-Prince-Édouard,11,39.46
2023,Québec,24,34.35
2023,Saskatchewan,47,42.21
2023,Yukon,60,0.0
