Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Québec,Autres matières organiques,Sources des matières non résidentielles récupérées,24,
2018,Québec,Autres matières,Toutes les sources des matières récupérées,24,0.0
2018,Québec,Autres matières,Sources des matières résidentielles récupérées,24,0.0
2018,Québec,Autres matières,Sources des matières non résidentielles récupérées,24,0.0
2018,Ontario,Toutes les matières,Toutes les sources des matières récupérées,35,233.21646101634
2018,Ontario,Toutes les matières,Sources des matières résidentielles récupérées,35,
2018,Ontario,Toutes les matières,Sources des matières non résidentielles récupérées,35,
2018,Ontario,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,35,92.0460235701812
2018,Ontario,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,35,40.6184349188574
2018,Ontario,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,35,51.4275886513239
2018,Ontario,Verre,Toutes les sources des matières récupérées,35,7.96726625850699
2018,Ontario,Verre,Sources des matières résidentielles récupérées,35,5.85799455089104
2018,Ontario,Verre,Sources des matières non résidentielles récupérées,35,2.10927170761595
2018,Ontario,Métaux ferreux,Toutes les sources des matières récupérées,35,8.07294273242507
2018,Ontario,Métaux ferreux,Sources des matières résidentielles récupérées,35,2.69063191320625
2018,Ontario,Métaux ferreux,Sources des matières non résidentielles récupérées,35,5.38231081921882
2018,Ontario,Cuivre et aluminium,Toutes les sources des matières récupérées,35,1.54201100515079
2018,Ontario,Cuivre et aluminium,Sources des matières résidentielles récupérées,35,0.827054517473821
2018,Ontario,Cuivre et aluminium,Sources des matières non résidentielles récupérées,35,0.714956487676965
2018,Ontario,Métaux mélangés,Toutes les sources des matières récupérées,35,2.74961250796238
2018,Ontario,Métaux mélangés,Sources des matières résidentielles récupérées,35,1.02800733676719
2018,Ontario,Métaux mélangés,Sources des matières non résidentielles récupérées,35,1.72160517119519
2018,Ontario,Électroménagers,Toutes les sources des matières récupérées,35,0.796412528008803
2018,Ontario,Électroménagers,Sources des matières résidentielles récupérées,35,0.701903977358152
2018,Ontario,Électroménagers,Sources des matières non résidentielles récupérées,35,0.0945085506506502
2018,Ontario,Matériel électronique,Toutes les sources des matières récupérées,35,3.20847455521303
2018,Ontario,Matériel électronique,Sources des matières résidentielles récupérées,35,
2018,Ontario,Matériel électronique,Sources des matières non résidentielles récupérées,35,
2018,Ontario,Matières plastiques,Toutes les sources des matières récupérées,35,8.76814595582277
2018,Ontario,Matières plastiques,Sources des matières résidentielles récupérées,35,6.86582982625643
2018,Ontario,Matières plastiques,Sources des matières non résidentielles récupérées,35,1.90231612956634
2018,Ontario,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,35,0.627707087150146
2018,Ontario,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,35,0.512747277016009
2018,Ontario,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,35,0.114959810134137
2018,Ontario,Textiles,Toutes les sources des matières récupérées,35,0.084666818271225
