Year,Units,Value
2015,"Dollar américain, millions, prix constants de 2023",7.481718
2016,"Dollar américain, millions, prix constants de 2023",4.898662
2017,"Dollar américain, millions, prix constants de 2023",6.780004
2018,"Dollar américain, millions, prix constants de 2023",9.224624
2019,"Dollar américain, millions, prix constants de 2023",6.45239
2020,"Dollar américain, millions, prix constants de 2023",3.023236
2021,"Dollar américain, millions, prix constants de 2023",5.38804
2022,"Dollar américain, millions, prix constants de 2023",2.837132
2023,"Dollar américain, millions, prix constants de 2023",3.175712
