Year,Sex,Value
2010,,1.51
2011,,1.51
2012,,1.38
2013,,1.4
2014,,1.27
2015,,1.55
2016,,1.69
2017,,1.65
2018,,1.62
2019,,1.84
2020,,0.8
2021,,0.84
2022,,1.78
2023,,2.2
2010,Male,2.09
2011,Male,2.03
2012,Male,1.91
2013,Male,1.87
2014,Male,1.67
2015,Male,1.94
2016,Male,2.07
2017,Male,2.08
2018,Male,2.07
2019,Male,2.36
2020,Male,0.93
2021,Male,1.04
2022,Male,2.29
2023,Male,2.84
2010,Female,0.93
2011,Female,0.96
2012,Female,0.86
2013,Female,0.93
2014,Female,0.86
2015,Female,1.16
2016,Female,1.32
2017,Female,1.22
2018,Female,1.15
2019,Female,1.31
2020,Female,0.66
2021,Female,0.65
2022,Female,1.26
2023,Female,1.49
