Value,en,fr,Disaggregation combinations using this value,Number of indicators
Consolidated Canadian general government,Consolidated Canadian general government,Administration publique générale canadienne consolidée,2,1
Consolidated provincial-territorial and local governments,Consolidated provincial-territorial and local governments,Administrations publiques provinciales-territoriales et locales consolidées,42,1
