Value,en,fr,Disaggregation combinations using this value,Number of indicators
1 to 4 employees,1 to 4 employees,1 à 4 employés,4,1
100 to 499 employees,100 to 499 employees,100 à 499 employés,4,1
20 to 99 employees,20 to 99 employees,20 à 99 employés,4,1
5 to 19 employees,5 to 19 employees,5 à 19 employés,4,1
