Value,Disaggregation combinations using this value,Number of indicators
data.Sub-indicator_A,1,1
data.Sub-indicator_B,1,1
data.Sub-indicator_C,1,1
data.Sub-indicator_D,1,1
data.Sub-indicator_E,1,1
