Value,en,fr,Disaggregation combinations using this value,Number of indicators
Official Development Assistance (ODA),Official Development Assistance (ODA),Aide publique au développement (APD),1,1
Official Development Assistance,Official Development Assistance,Aide publique au développement,2,2
Officially supported export credits,Officially supported export credits,Crédits à l'exportation bénéficiant de support public,1,1
Other Official Flows (non Export Credit),Other Official Flows (non Export Credit),Autres apports du secteur public (autre que crédits à l'exportation),2,2
Other Official Flows (OOF),Other Official Flows (OOF),Autres apports du secteur public (AASP),1,1
Private flows at market terms,Private flows at market terms,Apports du secteur privé aux conditions du marché,1,1
"Private grants, net","Private grants, net","Dons privés, net",1,1
