Indicator
#1-3-1
#1-4-1
#10-1-1
#10-3-1
#11-3-1
#12-8-1
#13-3-1
#15-1-1
#15-2-1
#15-5-1
#16-1-3
#16-3-1
#16-b-1
#17-6-1
#2-4-1
#2-5-1
#2-a-1
#3-8-2
#3-b-1
#3-c-1
#4-1-1
#4-5-1
#4-7-1
#4-a-1
#6-4-1
#8-10-1
#8-8-1
#9-1-2
#9-2-1
#9-3-2
#9-c-1
