Value,en,fr,Disaggregation combinations using this value,Number of indicators
Contact a community organization,Contact a community organization,Communiquez avec un organisme communautaire,1,1
Contact a court or tribunal,Contact a court or tribunal,Communiquer avec une cour ou un tribunal,1,1
Contact a government department/agency,Contact a government department/agency,Communiquer avec un ministère ou un organisme gouvernemental,1,1
Contact a labour union,Contact a labour union,Communiquer avec un syndicat,1,1
"Contact a lawyer, paralegal, or law student","Contact a lawyer, paralegal, or law student","Communiquez avec un avocat, un parajuriste ou un étudiant en droit",1,1
Other action to resolve problem,Other action to resolve problem,Autres mesures pour résoudre le problème,1,1
