Value,en,fr,Disaggregation combinations using this value,Number of indicators
System of Environmental Economic Accounting Tables (SEEA),System of Environmental Economic Accounting Tables,Tableaux du Système de comptabilité économique et environnementale,1,1
Tourism Satellite Account Tables (TSA),Tourism Satellite Account Tables,Tableaux du Compte satellite du tourisme,1,1
