Value,en,fr,Disaggregation combinations using this value,Number of indicators
Proportion of population covered by 5G,Proportion of population covered by 5G,Proportion de la population couverte par la 5G,1,1
Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),1,1
Proportion of population covered by Long-Term Evolution - A (LTE-A),Proportion of population covered by Long-Term Evolution - A (LTE-A),Proportion de la population couverte par l’évolution à long terme - A (LTE-A),1,1
Proportion of population covered by Long-Term Evolution (LTE),Proportion of population covered by Long-Term Evolution (LTE),Proportion de la population couverte par l’évolution à long terme (LTE),1,1
Proportion of population within 500 metres of a public transit stop,Proportion of population within 500 metres of a public transit stop,Proportion de la population située dans un rayon de 500 mètres d’un arrêt de transport en commun,56,1
Proportion of the rural population who live within 2 km of an all-season road,Proportion of the rural population who live within 2 km of an all-season road,Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,14,1
