Value,en,fr,Disaggregation combinations using this value,Number of indicators
15 to 24 years,15 to 24 years,15 à 24 ans,10,1
25 to 64 years,25 to 64 years,25 à 64 ans,10,1
65 years and over,65 years and over,65 ans et plus,10,1
Immigrants,Immigrants,Immigrants,10,1
Men+,Men+,Hommes+,10,1
Non-immigrants,Non-immigrants,Non-immigrants,10,1
"Total, 15 years and over","Total, 15 years and over","Total, 15 ans et plus",9,1
Women+,Women+,Femmes+,10,1
