Value,en,fr,Disaggregation combinations using this value,Number of indicators
Recommended vaccines during pregnancy,Recommended vaccines during pregnancy,Vaccins recommandés pendant la grossesse,26,1
Recommended vaccines for 14-year-old children,Recommended vaccines for 14-year-old children,Vaccins recommandés aux enfants de 14 ans,6,1
Recommended vaccines for 17-year-old children,Recommended vaccines for 17-year-old children,Vaccins recommandés aux enfants de 17 ans,11,1
Recommended vaccines for 2-year-old children,Recommended vaccines for 2-year-old children,Vaccins recommandés aux enfants de 2 ans,174,1
Recommended vaccines for 7-year-old children,Recommended vaccines for 7-year-old children,Vaccins recommandés aux enfants de 7 ans,10,1
