Value,en,fr,Disaggregation combinations using this value,Number of indicators
Living common law,Living common law,Vivant en union libre,28,1
Married or common-law,Married or common-law,Marié ou vivant en union libre,3,2
Married or in a union,Married or in a union,Marié ou en union,1,1
Married or living common law,Married or living common law,Marié ou vivant en union libre,28,1
Married,Married,Marié,28,1
"Separated, divorced, or widowed","Separated, divorced, or widowed","Séparé, divorcé ou veuf",3,2
"Single, never married","Single, never married","Célibataire, jamais marié",3,2
Unmarried,Unmarried,Célibataire,1,1
