Value,Disaggregation combinations using this value,Number of indicators
Person with disability,1,1
Person without disability,1,1
"Persons with a disability, difficulty or long-term condition",30,1
"Persons without a disability, difficulty or long-term condition",30,1
"Total, persons with and without a disability, difficulty or long-term condition",20,1
