Value,en,fr,Disaggregation combinations using this value,Number of indicators
_Physical assault,Physical assault,Voies de fait,1,1
Robbery,Robbery,Vol qualifié,1,1
Sexual assault,Sexual assault,Agression sexuelle,1,1
