Value,en,fr,Disaggregation combinations using this value,Number of indicators
$100 or less,$100 or less,100 $ ou moins,3,1
"$1,001 or more","$1,001 or more",1 001 $ ou plus,3,1
$101 to $200,$101 to $200,101 $ à 200 $,3,1
$201 to $300,$201 to $300,201 $ à 300 $,3,1
$301 to $500,$301 to $500,301 $ à 500 $,3,1
"$501 to $1,000","$501 to $1,000",501 $ à 1 000 $,3,1
