Value,en,fr,Disaggregation combinations using this value,Number of indicators
15 to 24 year old women,15 to 24 year old women,Femmes de 15 à 24 ans,1,1
"First Nations, Métis, or Inuit women","First Nations, Métis, or Inuit women","Femmes des Premières Nations, métisses ou inuites",1,1
Immigrant women,Immigrant women,Femmes immigrantes,1,1
LGBTQ2 women,LGBTQ2 women,Femmes LGBTQ2,1,1
Separated or divorced women,Separated or divorced women,Femmes séparées ou divorcées,1,1
Single women,Single women,Femmes célibataires,1,1
"Total, all women","Total, all women","Total, toutes les femmes",4,1
Women designated as visible minorities,Women designated as visible minorities,Femmes désignées comme minorités visibles,1,1
Women with disability,Women with disability,Femmes ayant une incapacité,1,1
