Value,en,fr,Disaggregation combinations using this value,Number of indicators
Leprosy,Leprosy,Lèpre,4,1
Rabies,Rabies,Rage,3,1
Total - Neglected tropical diseases,Total - Neglected tropical diseases,Total - Maladies tropicales négligées,3,1
