Value,en,fr,Disaggregation combinations using this value,Number of indicators
Both sexes,Both sexes,Les deux sexes,2158,6
Female,Female,Femme,613,12
Females,Females,Femmes,469,5
Male,Male,Homme,572,12
Males,Males,Hommes,484,5
Men,Men,Hommes,5,1
Total,Total,Total,8,2
Unknown,Unknown,Inconnu,2,2
Women,Women,Femmes,5,1
