Value,en,fr,Disaggregation combinations using this value,Number of indicators
Machinery manufacturing,Machinery manufacturing,Fabrication de machines,10,1
Manufacturing and reproducing magnetic and optical media,Manufacturing and reproducing magnetic and optical media,Fabrication et reproduction de supports magnétiques et optiques,4,1
Manufacturing (NAICS 31-33),Manufacturing (NAICS 31-33),Fabrication (SCIAN 31-33),4,1
Meat product manufacturing,Meat product manufacturing,Fabrication de produits de viande,9,1
Medical equipment and supplies manufacturing,Medical equipment and supplies manufacturing,Fabrication de fournitures et de matériel médicaux,11,1
Metalworking machinery manufacturing,Metalworking machinery manufacturing,Fabrication de machines-outils pour le travail du métal,8,1
Miscellaneous manufacturing,Miscellaneous manufacturing,Activités diverses de fabrication,12,1
Motor vehicle body and trailer manufacturing,Motor vehicle body and trailer manufacturing,Fabrication de carrosseries et de remorques de véhicules automobiles,8,1
Motor vehicle manufacturing,Motor vehicle manufacturing,Fabrication de véhicules automobiles,4,1
Motor vehicle parts manufacturing,Motor vehicle parts manufacturing,Fabrication de pièces pour véhicules automobiles,7,1
"Motor vehicles, trailers and semi-trailers","Motor vehicles, trailers and semi-trailers","Véhicules automobiles, remorques et semi-remorques",6,1
"Navigational, measuring, medical and control instruments manufacturing","Navigational, measuring, medical and control instruments manufacturing","Fabrication d'instruments de navigation, de mesure et de commande et d'instruments médicaux",9,1
Non-durable goods,Non-durable goods,Biens non durables,12,1
Non-ferrous metal (except aluminum) production and processing,Non-ferrous metal (except aluminum) production and processing,Production et transformation de métaux non ferreux (sauf l'aluminium),4,1
Non-metallic mineral product manufacturing,Non-metallic mineral product manufacturing,Fabrication de produits minéraux non métalliques,11,1
Office furniture (including fixtures) manufacturing,Office furniture (including fixtures) manufacturing,Fabrication de meubles de bureau (y compris les articles d'ameublement),8,1
Other chemical product manufacturing,Other chemical product manufacturing,Fabrication d'autres produits chimiques,9,1
Other electrical equipment and component manufacturing,Other electrical equipment and component manufacturing,Fabrication d'autres types de matériel et de composants électriques,7,1
Other fabricated metal product manufacturing,Other fabricated metal product manufacturing,Fabrication d'autres produits métalliques,10,1
Other food manufacturing,Other food manufacturing,Fabrication d'autres aliments,11,1
Other furniture-related product manufacturing,Other furniture-related product manufacturing,Fabrication d'autres produits connexes aux meubles,8,1
Other general-purpose machinery manufacturing,Other general-purpose machinery manufacturing,Fabrication d'autres machines d'usage général,9,1
Other industries from the North American Industrial Classification System (NAICS),Other industries from the North American Industrial Classification System (NAICS),Autres industries du Système de Classification des Industries de l'Amérique du Nord (SCIAN),4,1
Other leather and allied product manufacturing,Other leather and allied product manufacturing,Fabrication d'autres produits en cuir et produits analogues,4,1
Other manufacturing,Other manufacturing,Autres industries manufacturières,6,1
Other miscellaneous manufacturing,Other miscellaneous manufacturing,Autres activités diverses de fabrication,11,1
Other non-metallic mineral product manufacturing,Other non-metallic mineral product manufacturing,Fabrication d'autres produits minéraux non métalliques,9,1
Other non-metallic mineral products,Other non-metallic mineral products,Autres produits minéraux non métalliques,3,1
Other services (NAICS 81),Other services (NAICS 81),Autres services (SCIAN 81),4,1
Other textile product mills,Other textile product mills,Usines d'autres produits textiles,5,1
Other transportation equipment manufacturing,Other transportation equipment manufacturing,Fabrication d'autres types de matériel de transport,4,1
Other wood product manufacturing,Other wood product manufacturing,Fabrication d'autres produits en bois,10,1
"Paint, coating and adhesive manufacturing","Paint, coating and adhesive manufacturing","Fabrication de peintures, de revêtements et d'adhésifs",7,1
Paper and paper products,Paper and paper products,Papier et produits du papier,3,1
Paper manufacturing,Paper manufacturing,Fabrication du papier,8,1
"Pesticide, fertilizer and other agricultural chemical manufacturing","Pesticide, fertilizer and other agricultural chemical manufacturing","Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",8,1
Petroleum and coal product manufacturing,Petroleum and coal product manufacturing,Fabrication de produits du pétrole et du charbon,8,1
Pharmaceutical and medicine manufacturing,Pharmaceutical and medicine manufacturing,Fabrication de produits pharmaceutiques et de médicaments,7,1
Plastic product manufacturing,Plastic product manufacturing,Fabrication de produits en plastique,8,1
Plastics and rubber products manufacturing,Plastics and rubber products manufacturing,Fabrication de produits en plastique et en caoutchouc,9,1
Primary metal manufacturing,Primary metal manufacturing,Première transformation des métaux,8,1
Printing and related support activities,Printing and related support activities,Impression et activités connexes de soutien,12,1
Printing and reproduction of recorded media,Printing and reproduction of recorded media,Impression et reproduction de supports enregistrés,6,1
"Pulp, paper and paperboard mills","Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",6,1
Railroad rolling stock manufacturing,Railroad rolling stock manufacturing,Fabrication de matériel ferroviaire roulant,3,1
"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing","Fabrication de résines, de caoutchouc synthétique et de fibres et de filaments artificiels et synthétiques",6,1
Retail trade (NAICS 44-45),Retail trade (NAICS 44-45),Commerce de détail (SCIAN 44-45),4,1
Rubber and plastics products,Rubber and plastics products,Produits en caoutchouc et en plastique,6,1
Rubber product manufacturing,Rubber product manufacturing,Fabrication de produits en caoutchouc,8,1
Sawmills and wood preservation,Sawmills and wood preservation,Scieries et préservation du bois,11,1
Scientific and technical services (NAICS 54),Scientific and technical services (NAICS 54),"Services professionnels, scientifiques et techniques (SCIAN 54)",4,1
Seafood product preparation and packaging,Seafood product preparation and packaging,Préparation et conditionnement de poissons et de fruits de mer,8,1
Semiconductor and other electronic component manufacturing,Semiconductor and other electronic component manufacturing,Fabrication de semi-conducteurs et d'autres composants électroniques,6,1
Ship and boat building,Ship and boat building,Construction de navires et d'embarcations,8,1
"Soap, cleaning compound and toilet preparation manufacturing","Soap, cleaning compound and toilet preparation manufacturing","Fabrication de savons, de détachants et de produits de toilette",8,1
Spring and wire product manufacturing,Spring and wire product manufacturing,Fabrication de ressorts et de produits en fil métallique,8,1
Steel product manufacturing from purchased steel,Steel product manufacturing from purchased steel,Fabrication de produits en acier à partir d'acier acheté,6,1
Sugar and confectionery product manufacturing,Sugar and confectionery product manufacturing,Fabrication de sucre et de confiseries,5,1
Textile and fabric finishing and fabric coating,Textile and fabric finishing and fabric coating,Finissage de textiles et de tissus et revêtement de tissus,7,1
Textile furnishings mills,Textile furnishings mills,Usines de textiles domestiques,5,1
Textile mills,Textile mills,Usines de textiles,8,1
Textile product mills,Textile product mills,Usines de produits textiles,10,1
Textiles,Textiles,Textiles,3,1
Tobacco manufacturing,Tobacco manufacturing,Fabrication du tabac,1,1
Total manufacturing,Total manufacturing,Total de l’industrie manufacturière,15,2
Tourism,Tourism,Tourisme,4,1
Transportation and warehousing (NAICS 48-49),Transportation and warehousing (NAICS 48-49),Transport et entreposage (SCIAN 48-49),4,1
Transportation equipment manufacturing,Transportation equipment manufacturing,Fabrication de matériel de transport,11,1
"Veneer, plywood and engineered wood product manufacturing","Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",10,1
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",8,1
Wholesale trade (NAICS 41),Wholesale trade (NAICS 41),Commerce de gros (SCIAN 41),4,1
Wood product manufacturing,Wood product manufacturing,Fabrication de produits en bois,11,1
"Wood products, excluding furniture","Wood products, excluding furniture","Produits du bois, à l’exclusion des meubles",6,1
