Value,en,fr,Disaggregation combinations using this value,Number of indicators
5G,5G,5G,1,1
Evolved High-Speed Packet Access (HSPA+),Evolved High-Speed Packet Access (HSPA+),Accès haute vitesse évolué par paquets (HSPA+),1,1
Long-Term Evolution - A (LTE-A),Long-Term Evolution - A (LTE-A),Évolution à long terme - A (LTE-A),1,1
Long-Term Evolution (LTE),Long-Term Evolution (LTE),Évolution à long terme (LTE),1,1
