Indicator,Disaggregation combinations using this value
#1-2-1,4
#1-4-1,1
#10-4-1,1
#11-4-1,3
#13-2-2,6
#16-1-1,9
#16-2-1,127
#16-2-3,2
#17-6-1,3
#2-1-2,2
#3-1-2,1
#3-2-1,1
#3-4-2,3
#3-5-2,1
#3-b-1,4
#3-c-1,8
#4-1-2,3
#4-3-1,6
#4-6-1,71
#5-5-1,2
#7-2-1,5
#8-1-1,1
#8-6-1,32
#9-1-1,1
#9-2-1,2
#9-b-1,1
