Indicator,Disaggregation combinations using this value
#1-4-1,4
#2-1-2,385
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,2
#3-a-1,32
#3-c-1,28
#4-1-1,4
#4-2-2,1
#4-5-1,6
#8-8-1,2
