Value,en,fr,Disaggregation combinations using this value,Number of indicators
Adoption,Adoption,Adoption,1,1
Grants,Grants,Dons,1,1
Implementation,Implementation,Mise en œuvre,1,1
Other revenue,Other revenue,Autres recettes,1,1
Social contributions,Social contributions,Cotisations sociales,1,1
Taxes,Taxes,Recettes fiscales,1,1
