Value,en,fr,Disaggregation combinations using this value,Number of indicators
"Food insecure, marginal","Food insecure, marginal",Insécurité alimentaire marginale,498,1
"Food insecure, moderate or severe","Food insecure, moderate or severe",Insécurité alimentaire modérée ou grave,543,1
"Food insecure, moderate","Food insecure, moderate",Insécurité alimentaire modérée,541,1
"Food insecure, severe","Food insecure, severe",Insécurité alimentaire grave,470,1
Food insecure,Food insecure,Insécurité alimentaire,595,1
Food secure,Food secure,Sécurité alimentaire,627,1
