Indicator,Disaggregation combinations using this value
#1-2-1,11
#1-4-1,1
#10-1-1,8
#10-2-1,11
#10-3-1,1500
#11-1-1,6
#11-2-1,162
#11-4-1,5
#11-6-1,2
#13-2-2,7
#16-1-1,8
#16-2-1,215
#16-2-3,6
#16-b-1,1500
#17-6-1,5
#17-8-1,4
#2-1-2,260
#3-4-2,2
#3-b-1,42
#3-c-1,8
#4-1-2,5
#4-3-1,16
#4-6-1,72
#5-3-1,6
#5-4-1,119
#5-5-1,4
#5-5-2,4
#6-3-2,20
#7-2-1,6
#8-5-1,395
#8-5-2,65
#8-6-1,35
#9-2-2,108
