Value,en,fr,Disaggregation combinations using this value,Number of indicators
Other activity,Other activity,Autre activité,60,2
Retired,Retired,À la retraite,60,2
"Total, by main activity","Total, by main activity","Total, selon l’activité principale",40,2
Working at a paid job or business,Working at a paid job or business,Travailler à un emploi rémunéré ou à son propre compte,60,2
