Value,en,fr,Disaggregation combinations using this value,Number of indicators
All sources of waste for disposal,All sources of waste for disposal,Toutes les sources de déchets à des fins d'élimination,22,2
Non-residential sources of waste for disposal,Non-residential sources of waste for disposal,Sources de déchets résidentielles à des fins d'élimination,24,2
Residential sources of waste for disposal,Residential sources of waste for disposal,Sources de déchets non résidentielles à des fins d'élimination,24,2
