Value,en,fr,Disaggregation combinations using this value,Number of indicators
Enabling environment,Enabling environment,Environnement favorable,8,1
Financing,Financing,Financement,7,1
Institutions and participation,Institutions and participation,Institutions et participation,12,1
Management instruments,Management instruments,Instruments de gestion,10,1
