Indicator,Disaggregation combinations using this value
#10-3-1,30
#16-1-3,2
#16-2-1,67
#16-2-3,11
#16-b-1,30
#17-8-1,11
#3-3-1,3
#5-2-2,1
#5-4-1,66
#8-5-1,877
#8-5-2,33
#8-6-1,121
