Value,en,fr,Disaggregation combinations using this value,Number of indicators
Owner who is a first-time homebuyer,Owner who is a first-time homebuyer,Propriétaire qui est un accédant à la propriété,9,1
Owner who is not a first-time homebuyer,Owner who is not a first-time homebuyer,Propriétaire qui n'est pas un accédant à la propriété,10,1
Owner,Owner,Propriétaire,10,1
Renter in social and affordable housing,Renter in social and affordable housing,Locataire habitant dans un logement social et abordable,10,1
Renter not in social and affordable housing,Renter not in social and affordable housing,Locataire n'habitant pas dans un logement social et abordable,10,1
Renter,Renter,Locataire,10,1
"Total, tenure","Total, tenure","Total, mode d'occupation",9,1
