Value,en,fr,Disaggregation combinations using this value,Number of indicators
"Not in the labour force, Not in employment, education or training (NEET)","Not in the labour force, Not in employment, education or training (NEET)","Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",151,1
"Total, not in employment, education or training (NEET)","Sub-total, not in employment, education or training (NEET)","Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",164,1
"Unemployed, Not in employment, education or training (NEET)","Unemployed, Not in employment, education or training (NEET)","Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",147,1
