Value,en,fr,Disaggregation combinations using this value,Number of indicators
"Emotional, financial, or psychological abuse","Emotional, financial, or psychological abuse","Violence psychologique, émotionnelle ou exploitation financière",1,1
Physical abuse,Physical abuse,Violence physique,1,1
Sexual abuse,Sexual abuse,Violence sexuelle,1,1
Total intimate partner violence,Total intimate partner violence,Total de tous les types de violence,9,1
