Value,en,fr,Disaggregation combinations using this value,Number of indicators
Cultural services,Cultural services,Services culturels,15,1
Protection of biodiversity and landscape,Protection of biodiversity and landscape,Préservation de la diversité biologique et protection de la nature,15,1
Total cultural and natural heritage,Total cultural and natural heritage,Ensemble du patrimoine culturel et naturel,14,1
