Value,en,fr,Disaggregation combinations using this value,Number of indicators
Indigenous population,Indigenous population,Population autochtone,67,1
Non-Indigenous population,Non-Indigenous population,Population non autochtone,78,1
Not a visible minority nor Indigenous,Not a visible minority nor Indigenous,Pas une minorité visible ni autochtone,78,1
