Value,en,fr,Disaggregation combinations using this value,Number of indicators
All sources of diverted materials,All sources of diverted materials,Toutes les sources des matières récupérées,209,1
Non-residential sources of diverted materials,Non-residential sources of diverted materials,Sources des matières non résidentielles récupérées,156,1
Residential sources of diverted materials,Residential sources of diverted materials,Sources des matières résidentielles récupérées,153,1
