Indicator
#1-4-1
#1-5-1
#11-3-1
#11-5-1
#13-1-1
#15-1-1
#15-2-1
#17-6-1
#2-1-1
#2-4-1
#2-5-1
#2-5-2
#2-a-1
#2-a-2
#2-c-1
#3-2-2
#3-8-2
#3-c-1
#4-1-1
#4-5-1
#6-3-1
#6-4-1
#9-1-2
#9-2-1
#9-c-1
