Value,en,fr,Disaggregation combinations using this value,Number of indicators
Chiefs in First Nation communities,Chiefs in First Nation communities,Chefs dans les communautés des Premières Nations,1,1
First Nations council members,First Nations council members,Membres de conseil des Premières Nations,1,1
Members of Cabinet,Members of Cabinet,Cabinet fédéral,14,1
Members of Parliament,Members of Parliament,Parlement national,14,1
