Value,en,fr,Disaggregation combinations using this value,Number of indicators
Employed in past 12 months,Employed in past 12 months,Employé au cours des 12 mois précédant,1,1
Not employed in past 12 months,Not employed in past 12 months,Sans emploi au cours des 12 mois précédant,1,1
