Value,en,fr,Disaggregation combinations using this value,Number of indicators
Physical abuse,Physical abuse,Violence physique,760,1
Physical or sexual abuse,Physical or sexual abuse,Violence physique ou sexuelle,737,1
Sexual abuse,Sexual abuse,Violence sexuelle,665,1
