Value,en,fr,Disaggregation combinations using this value,Number of indicators
"Saskatoon, Saskatchewan","Saskatoon, Saskatchewan","Saskatoon, Saskatchewan",111,2
"Saskatoon, SK","Saskatoon, SK","Saskatoon, SK",1,1
"Sherbrooke, Quebec","Sherbrooke, Quebec","Sherbrooke, Québec",111,2
Southern Ontario,Southern Ontario,Sud de l'Ontario,1,1
Southern Quebec,Southern Quebec,Sud du Québec,1,1
"St. Catharines - Niagara Falls, ON","St. Catharines - Niagara Falls, ON","St. Catharines - Niagara Falls, ON",1,1
"St. Catharines - Niagara Falls, Ontario","St. Catharines - Niagara Falls, Ontario","St. Catharines - Niagara Falls, Ontario",3,1
"St. Catharines - Niagara, Ontario","St. Catharines - Niagara, Ontario","St. Catharines - Niagara, Ontario",144,1
"St. John's, Newfoundland and Labrador","St. John's, Newfoundland and Labrador","St. John's, Terre-Neuve-et-Labrador",111,2
"St. John's, NL","St. John's, NL","St. John's, NL",1,1
"Sudbury, Ontario","Sudbury, Ontario","Sudbury, Ontario",3,1
Territories,Territories,Territoires,41,2
"Thunder Bay, Ontario","Thunder Bay, Ontario","Thunder Bay, Ontario",111,2
"Toronto, ON","Toronto, ON","Toronto, ON",1,1
"Toronto, Ontario","Toronto, Ontario","Toronto, Ontario",189,4
"Total, Organisation for Economic Co-operation and Development (OECD)","Total, Organisation for Economic Co-operation and Development (OECD)","Total, Organisation de coopération et de développement économiques (OCDE)",1,1
"Trois-Rivières, Quebec","Trois-Rivières, Quebec","Trois-Rivières, Québec",111,2
"Vancouver, BC","Vancouver, BC","Vancouver, BC",1,1
"Vancouver, British Columbia","Vancouver, British Columbia","Vancouver, Colombie-Britannique",171,4
"Victoria, BC","Victoria, BC","Victoria, BC",1,1
"Victoria, British Columbia","Victoria, British Columbia","Victoria, Colombie-Britannique",147,2
"Whitehorse, YT","Whitehorse, YT","Whitehorse, YT",1,1
"Windsor, ON","Windsor, ON","Windsor, ON",1,1
"Windsor, Ontario","Windsor, Ontario","Windsor, Ontario",111,2
"Winnipeg, Manitoba","Winnipeg, Manitoba","Winnipeg, Manitoba",135,4
"Winnipeg, MB","Winnipeg, MB","Winnipeg, MB",1,1
"Yellowknife, NT","Yellowknife, NT","Yellowknife, NT",1,1
Yukon and Northwest Territories,Yukon and Northwest Territories,Yukon et les Territoires du Nord-Ouest,4,1
"Yukon, Northwest Territories and Nunavut","Yukon, Northwest Territories and Nunavut","Yukon, Territoires du Nord-Ouest et Nunavut",6,2
Yukon,Yukon,Yukon,409,29
