Value,en,fr,Disaggregation combinations using this value,Number of indicators
Hydraulic turbine,Hydraulic turbine,Turbine à hydraulique,14,1
Nuclear steam turbine,Nuclear steam turbine,Turbine à vapeur - nucléaire,4,1
Solar,Solar,Solaire,14,1
Tidal power turbine,Tidal power turbine,Turbine marémotrice,6,1
Total electricity production from biomass,Total electricity production from biomass,Production totale d’électricité provenant de la biomasse,14,1
Total renewable and non-greenhouse gas emitting sources,Total renewable and non-greenhouse gas emitting sources,Total des sources renouvelables et non émettrices de gaz à effet de serre,13,1
Wind power turbine,Wind power turbine,Turbine éolienne,14,1
