Value,en,fr,Disaggregation combinations using this value,Number of indicators
"Earnings and profitability, return on assets","Earnings and profitability, return on assets",Rentabilité des actifs,1,1
Ratio of liquid assets to short-term liabilities,Ratio of liquid assets to short-term liabilities,Ratio des actifs liquides aux passifs à court terme,1,1
Ratio of non-performing loans net of provisions to capital,Ratio of non-performing loans net of provisions to capital,Ratio des créances improductives moins provisions aux fonds propres,1,1
Ratio of non-performing loans to total gross loans,Ratio of non-performing loans to total gross loans,Ratio des créances improductives au total des prêts bruts,1,1
Ratio of regulatory capital to assets,Ratio of regulatory capital to assets,Ratio des fonds propres réglementaires de base aux actifs,1,1
Ratio of regulatory capital to risk-weighted assets,Ratio of regulatory capital to risk-weighted assets,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,1,1
