Indicator
#1-4-1
#11-7-2
#2-1-2
#3-2-2
#3-3-1
#3-3-2
#3-3-3
#3-3-4
#3-3-5
#3-4-1
#3-4-2
#3-6-1
#3-a-1
#3-c-1
#4-1-1
#4-2-2
#4-5-1
#8-6-1
#8-8-1
