Value,en,fr,Disaggregation combinations using this value,Number of indicators
Basic education,Basic education,Éducation de base,1,1
Basic health,Basic health,Santé de base,1,1
Development food assistance,Development food assistance,Aide alimentaire dévelopmentale,1,1
Multisector aid for basic social services,Multisector aid for basic social services,Aide plurisectorielle pour les services sociaux de base,1,1
Water supply and sanitation,Water supply and sanitation,Distribution d'eau et assainissement,1,1
