Value,en,fr,Disaggregation combinations using this value,Number of indicators
Both full- and part-time employees,Both full- and part-time employees,Ensemble des employés à temps plein et à temps partiel,1406,1
Full-time employees,Full-time employees,Employés à temps plein,1391,1
Part-time employees,Part-time employees,Employés à temps partiel,1046,1
