Value,en,fr,Disaggregation combinations using this value,Number of indicators
Generated,Generated,Eaux usées générées,2,1
Not treated,Not treated,Aucun traitement,4,1
Safely treated,Safely treated,Traitées sans danger,4,1
Treated,Treated,Traitées,4,1
