Value,en,fr,Disaggregation combinations using this value,Number of indicators
Confidence in Federal Parliament,Confidence in Federal Parliament,Confiance dans le Parlement fédéral,160,1
Confidence in the justice system and courts,Confidence in the justice system and courts,Confiance dans le système de justice et dans les tribunaux,160,1
