Value,Disaggregation combinations using this value,Number of indicators
data.Crustaceans,1,1
data.Groundfish,1,1
data.Large pelagics,1,1
data.Marine mammals,1,1
data.Molluscs,1,1
data.Others,1,1
data.Salmonids,1,1
data.Small pelagics,1,1
