Indicator,Disaggregation combinations using this value
#1-2-1,12
#1-3-1,1
#1-4-1,5
#10-1-1,8
#10-2-1,12
#10-4-1,1
#11-1-1,7
#11-2-1,162
#11-4-1,3
#11-6-1,3
#13-2-2,8
#16-1-1,9
#16-2-1,170
#16-2-3,4
#16-b-1,30
#17-6-1,5
#17-8-1,5
#2-1-2,242
#3-1-2,1
#3-2-1,1
#3-4-2,3
#3-5-2,1
#3-b-1,14
#3-c-1,8
#4-1-2,6
#4-3-1,14
#4-6-1,72
#5-2-2,1
#5-3-1,6
#5-5-1,2
#5-5-2,5
#5-b-1,1
#7-2-1,5
#8-1-1,1
#8-2-1,1
#8-5-1,396
#8-5-2,66
#8-6-1,36
#9-1-1,1
#9-2-1,2
#9-2-2,62
#9-5-1,1
#9-b-1,1
