Indicator
#1-2-1
#1-3-1
#1-4-1
#10-1-1
#10-2-1
#10-3-1
#10-4-1
#11-1-1
#11-3-1
#11-4-1
#11-6-1
#11-6-2
#12-5-1
#13-2-2
#16-1-1
#16-2-1
#16-2-3
#16-b-1
#17-6-1
#17-8-1
#2-1-2
#3-1-2
#3-2-1
#3-4-2
#3-5-2
#3-b-1
#3-c-1
#4-1-2
#4-3-1
#4-6-1
#5-2-2
#5-4-1
#5-5-1
#5-5-2
#5-b-1
#6-3-2
#7-2-1
#8-1-1
#8-2-1
#8-5-1
#8-5-2
#8-6-1
#9-1-1
#9-2-1
#9-2-2
#9-3-2
#9-5-1
#9-b-1
