Value,Disaggregation combinations using this value,Number of indicators
2 or below,504,1
3 or above,503,1
Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,3,1
Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,3,1
Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,3,1
Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,3,1
