Value,en,fr,Disaggregation combinations using this value,Number of indicators
First Nations reserves Rural areas,First Nations reserves Rural areas,Réserves des Premières Nations Régions rurales,13,1
First Nations reserves Urban centres,First Nations reserves Urban centres,Réserves des Premières Nations Régions urbaines,8,1
First Nations reserves,First Nations reserves,Réserves des Premières Nations,1,1
Rural areas,Rural areas,Régions rurales,14,1
Total population centre,Total population centre,Total centre de population,13,1
Urban centres,Urban centres,Régions urbaines,14,1
