Indicator,Disaggregation combinations using this value
#1-2-1,12
#1-3-1,1
#1-4-1,4
#10-1-1,8
#10-2-1,12
#10-3-1,22
#10-4-1,1
#11-4-1,3
#11-6-1,3
#12-5-1,54
#13-2-2,8
#16-1-1,9
#16-2-1,115
#16-b-1,22
#17-6-1,4
#17-8-1,5
#2-1-2,209
#3-1-2,1
#3-2-1,1
#3-4-2,3
#3-5-2,1
#3-b-1,4
#3-c-1,8
#4-1-2,6
#4-3-1,13
#4-6-1,72
#5-2-2,1
#5-5-1,2
#5-5-2,5
#5-b-1,1
#7-2-1,6
#8-1-1,1
#8-2-1,1
#8-5-1,396
#8-5-2,66
#8-6-1,34
#9-1-1,1
#9-2-1,2
#9-2-2,26
#9-5-1,1
#9-b-1,1
