Value,en,fr,Disaggregation combinations using this value,Number of indicators
College,College,Collège,48,1
Elementary and/or High School,Elementary and/or High School,École primaire et/ou secondaire,3,1
Elementary/High School,Elementary/High School,Primaire/Secondaire,29,1
Total participation rate,Total participation rate,Total taux de participation,55,1
University,University,Université,51,1
