Value,en,fr,Disaggregation combinations using this value,Number of indicators
Rural areas,Rural areas,Régions rurales,60,2
Rural,Rural,Rural,2,2
"Total, urban and rural areas","Total, urban and rural areas","Total, régions urbaines et rurales",40,2
Urban areas,Urban areas,Régions urbaines,60,2
Urban,Urban,Urbain,2,2
