Year,Géographie,GeoCode,Value
2014/2015,,,8.0
2015/2016,,,8.1
2016/2017,,,8.2
2017/2018,,,8.2
2018/2019,,,8.0
2019/2020,,,8.1
2020/2021,,,8.3
2021/2022,,,8.1
2022/2023,,,7.8
2023/2024,,,7.3
2014/2015,Terre-Neuve-et-Labrador,10,9.4
2014/2015,Île-du-Prince-Édouard,11,7.9
2014/2015,Nouvelle-Écosse,12,7.7
2014/2015,Nouveau-Brunswick,13,6.6
2014/2015,Québec,24,8.3
2014/2015,Ontario,35,7.3
2014/2015,Manitoba,46,7.7
2014/2015,Saskatchewan,47,8.3
2014/2015,Alberta,48,9.4
2014/2015,Colombie-Britannique,59,8.7
2014/2015,Yukon,60,12.8
2014/2015,Territoires du Nord-Ouest,61,11.9
2014/2015,Nunavut,62,1.9
2015/2016,Terre-Neuve-et-Labrador,10,9.3
2015/2016,Île-du-Prince-Édouard,11,8.1
2015/2016,Nouvelle-Écosse,12,7.8
2015/2016,Nouveau-Brunswick,13,6.8
2015/2016,Québec,24,8.3
2015/2016,Ontario,35,7.5
2015/2016,Manitoba,46,7.8
2015/2016,Saskatchewan,47,8.5
2015/2016,Alberta,48,9.3
2015/2016,Colombie-Britannique,59,8.9
2015/2016,Yukon,60,13.2
2015/2016,Territoires du Nord-Ouest,61,11.8
2015/2016,Nunavut,62,1.8
2016/2017,Terre-Neuve-et-Labrador,10,9.2
2016/2017,Île-du-Prince-Édouard,11,8.2
2016/2017,Nouvelle-Écosse,12,7.7
2016/2017,Nouveau-Brunswick,13,7.0
2016/2017,Québec,24,8.4
2016/2017,Ontario,35,7.7
2016/2017,Manitoba,46,7.8
2016/2017,Saskatchewan,47,8.3
2016/2017,Alberta,48,8.9
2016/2017,Colombie-Britannique,59,8.8
2016/2017,Yukon,60,13.3
2016/2017,Territoires du Nord-Ouest,61,11.5
2016/2017,Nunavut,62,1.7
2017/2018,Terre-Neuve-et-Labrador,10,9.1
2017/2018,Île-du-Prince-Édouard,11,8.1
2017/2018,Nouvelle-Écosse,12,7.8
2017/2018,Nouveau-Brunswick,13,6.9
2017/2018,Québec,24,8.5
2017/2018,Ontario,35,7.7
2017/2018,Manitoba,46,7.7
2017/2018,Saskatchewan,47,8.0
2017/2018,Alberta,48,8.8
2017/2018,Colombie-Britannique,59,8.9
2017/2018,Yukon,60,13.1
2017/2018,Territoires du Nord-Ouest,61,12.1
2017/2018,Nunavut,62,2.8
2018/2019,Terre-Neuve-et-Labrador,10,8.8
2018/2019,Île-du-Prince-Édouard,11,8.0
2018/2019,Nouvelle-Écosse,12,7.7
2018/2019,Nouveau-Brunswick,13,6.8
2018/2019,Québec,24,8.4
2018/2019,Ontario,35,7.5
2018/2019,Manitoba,46,7.5
2018/2019,Saskatchewan,47,7.8
2018/2019,Alberta,48,8.6
2018/2019,Colombie-Britannique,59,8.8
2018/2019,Yukon,60,13.0
2018/2019,Territoires du Nord-Ouest,61,11.9
2018/2019,Nunavut,62,3.6
2019/2020,Terre-Neuve-et-Labrador,10,8.8
2019/2020,Île-du-Prince-Édouard,11,8.0
2019/2020,Nouvelle-Écosse,12,7.8
2019/2020,Nouveau-Brunswick,13,6.9
2019/2020,Québec,24,8.5
2019/2020,Ontario,35,7.6
2019/2020,Manitoba,46,7.5
2019/2020,Saskatchewan,47,7.4
2019/2020,Alberta,48,8.6
2019/2020,Colombie-Britannique,59,8.8
2019/2020,Yukon,60,13.0
2019/2020,Territoires du Nord-Ouest,61,11.7
2019/2020,Nunavut,62,3.8
2020/2021,Terre-Neuve-et-Labrador,10,9.2
2020/2021,Île-du-Prince-Édouard,11,8.1
2020/2021,Nouvelle-Écosse,12,8.2
2020/2021,Nouveau-Brunswick,13,7.7
2020/2021,Québec,24,8.4
2020/2021,Ontario,35,7.8
2020/2021,Manitoba,46,8.0
2020/2021,Saskatchewan,47,7.9
2020/2021,Alberta,48,9.0
2020/2021,Colombie-Britannique,59,9.0
2020/2021,Yukon,60,13.3
2020/2021,Territoires du Nord-Ouest,61,13.4
2020/2021,Nunavut,62,4.2
2021/2022,Terre-Neuve-et-Labrador,10,9.0
2021/2022,Île-du-Prince-Édouard,11,8.0
2021/2022,Nouvelle-Écosse,12,8.1
2021/2022,Nouveau-Brunswick,13,7.6
2021/2022,Québec,24,8.4
2021/2022,Ontario,35,7.6
2021/2022,Manitoba,46,7.7
2021/2022,Saskatchewan,47,7.8
2021/2022,Alberta,48,8.6
2021/2022,Colombie-Britannique,59,8.9
2021/2022,Yukon,60,12.3
2021/2022,Territoires du Nord-Ouest,61,12.0
2021/2022,Nunavut,62,3.9
2022/2023,Terre-Neuve-et-Labrador,10,8.7
2022/2023,Île-du-Prince-Édouard,11,8.0
2022/2023,Nouvelle-Écosse,12,7.8
2022/2023,Nouveau-Brunswick,13,7.2
2022/2023,Québec,24,8.3
2022/2023,Ontario,35,7.3
2022/2023,Manitoba,46,7.5
2022/2023,Saskatchewan,47,7.9
2022/2023,Alberta,48,8.2
2022/2023,Colombie-Britannique,59,8.5
2022/2023,Yukon,60,12.0
2022/2023,Territoires du Nord-Ouest,61,11.5
2022/2023,Nunavut,62,4.6
2023/2024,Terre-Neuve-et-Labrador,10,8.3
2023/2024,Île-du-Prince-Édouard,11,7.6
2023/2024,Nouvelle-Écosse,12,7.2
2023/2024,Nouveau-Brunswick,13,6.9
2023/2024,Québec,24,7.8
2023/2024,Ontario,35,6.8
2023/2024,Manitoba,46,7.1
2023/2024,Saskatchewan,47,6.6
2023/2024,Alberta,48,7.8
2023/2024,Colombie-Britannique,59,7.8
2023/2024,Yukon,60,11.5
2023/2024,Territoires du Nord-Ouest,61,10.8
2023/2024,Nunavut,62,4.7
