Year,Series,Units,Value
2016,Score de statut actuel,Score,4.0
2015,Score de tendance,Score,4.0
2020,Score de tendance,Score,4.67
2024,Score de tendance,Score,4.33
2022,Score de tendance,Score,4.67
2021,Score de tendance,Score,3.83
2023,Score de tendance,Score,4.5
2019,Score de tendance,Score,4.67
2017,Score de tendance,Score,4.67
2018,Score de tendance,Score,4.67
2016,Score de tendance,Score,4.67
2023,Score de statut actuel,Score,3.83
2015,Score de statut actuel,Score,3.83
2024,Score de statut actuel,Score,3.83
2019,Score de statut actuel,Score,4.17
2018,Score de statut actuel,Score,4.17
2020,Score de statut actuel,Score,4.17
2021,Score de statut actuel,Score,3.83
2022,Score de statut actuel,Score,4.17
2017,Score de statut actuel,Score,4.17
