Year,Units,Value
2015,"Dollar américain, millions, prix constants de 2023",0.562069
2016,"Dollar américain, millions, prix constants de 2023",1.807802
2017,"Dollar américain, millions, prix constants de 2023",0.03098
2018,"Dollar américain, millions, prix constants de 2023",0.641803
2019,"Dollar américain, millions, prix constants de 2023",1.937241
2020,"Dollar américain, millions, prix constants de 2023",3.964335
2021,"Dollar américain, millions, prix constants de 2023",5.818148
2022,"Dollar américain, millions, prix constants de 2023",5.987949
2023,"Dollar américain, millions, prix constants de 2023",34.848917
