Year,Value,Units
2015,7.481718,"Dollar américain, millions, prix constants de 2023"
2016,4.898662,"Dollar américain, millions, prix constants de 2023"
2017,6.780004,"Dollar américain, millions, prix constants de 2023"
2018,9.224624,"Dollar américain, millions, prix constants de 2023"
2019,6.45239,"Dollar américain, millions, prix constants de 2023"
2020,3.023236,"Dollar américain, millions, prix constants de 2023"
2021,5.38804,"Dollar américain, millions, prix constants de 2023"
2022,2.837132,"Dollar américain, millions, prix constants de 2023"
2023,3.175712,"Dollar américain, millions, prix constants de 2023"
