Year,Value
2010,1.51
2011,1.51
2012,1.38
2013,1.4
2014,1.27
2015,1.55
2016,1.69
2017,1.65
2018,1.62
2019,1.84
2020,0.8
2021,0.84
2022,1.78
2023,2.2
